"first_word","second_word","Freq"
"of","the",9484
"in","the",8201
"to","be",5441
"to","the",5295
"i","have",4932
"on","the",4608
"i","was",4432
"is","a",4215
"for","the",4208
"i","am",4057
"if","you",3810
"and","i",3724
"it","is",3723
"it","was",3722
"at","the",3371
"and","the",3306
"going","to",3286
"is","the",3208
"have","a",2998
"i","think",2980
"want","to",2925
"this","is",2841
"will","be",2817
"have","to",2807
"but","i",2792
"one","of",2746
"in","a",2660
"with","the",2492
"to","get",2431
"for","a",2397
"that","i",2298
"to","see",2268
"you","can",2262
"i","had",2260
"need","to",2160
"was","a",2132
"i","don't",2055
"i","just",2018
"i","can",1984
"with","a",1967
"you","have",1948
"all","the",1943
"from","the",1932
"when","i",1925
"that","the",1885
"there","is",1874
"you","are",1868
"i","will",1860
"a","lot",1841
"have","been",1809
"do","you",1777
"we","are",1764
"had","a",1746
"of","a",1740
"i","love",1712
"i","would",1694
"to","do",1687
"i","know",1664
"so","i",1663
"be","a",1636
"the","first",1590
"there","are",1585
"of","my",1536
"to","have",1535
"a","little",1529
"a","great",1524
"if","i",1517
"a","few",1514
"to","make",1483
"we","have",1471
"out","of",1422
"as","a",1410
"the","best",1387
"is","not",1386
"would","be",1378
"has","been",1376
"i","want",1361
"and","a",1359
"to","go",1345
"on","a",1337
"the","same",1313
"a","good",1308
"by","the",1280
"they","are",1269
"to","a",1256
"i","could",1231
"in","my",1229
"trying","to",1195
"like","a",1180
"you","know",1174
"when","you",1162
"he","was",1152
"that","is",1147
"about","the",1141
"the","only",1141
"the","most",1139
"so","much",1128
"all","of",1110
"lot","of",1108
"i","can't",1100
"i","hope",1097
"are","you",1078
"some","of",1068
"was","the",1065
"i","got",1060
"i","need",1057
"had","to",1053
"and","then",1035
"what","i",1027
"but","the",1014
"thank","you",1007
"is","that",1006
"time","to",996
"able","to",991
"like","to",991
"on","my",987
"as","i",965
"a","new",963
"but","it",961
"can","be",960
"me","to",958
"as","the",956
"i","thought",945
"i","do",901
"go","to",897
"i","feel",897
"and","it",893
"thanks","for",893
"i","really",890
"back","to",886
"that","you",869
"at","least",860
"part","of",856
"to","my",855
"a","bit",845
"into","the",843
"has","a",837
"be","the",831
"there","was",827
"kind","of",819
"should","be",812
"wanted","to",810
"way","to",806
"i","did",805
"like","the",800
"we","can",800
"you","want",799
"the","world",797
"can't","wait",793
"to","take",791
"to","say",783
"i'm","not",775
"the","last",774
"are","the",773
"he","is",773
"have","the",768
"the","way",766
"forward","to",765
"you","will",760
"i","wish",751
"know","what",749
"do","not",747
"the","new",743
"to","me",743
"would","have",736
"you","to",736
"wait","to",733
"that","we",731
"which","is",727
"it","would",726
"get","a",720
"and","we",716
"that","was",714
"more","than",713
"a","very",711
"with","my",711
"that","he",705
"is","it",702
"i","get",701
"what","you",700
"that","it",693
"how","to",691
"not","a",691
"not","to",691
"did","you",688
"the","time",688
"of","this",685
"we","were",680
"know","that",676
"i","guess",675
"to","find",675
"it","will",673
"the","other",673
"i","like",668
"i","didn't",666
"feel","like",664
"think","i",664
"because","i",663
"they","were",663
"what","is",662
"and","that",658
"it","has",657
"let","me",657
"hope","you",650
"is","to",650
"up","to",649
"is","going",645
"it","to",644
"when","the",643
"we","will",640
"most","of",639
"to","all",639
"got","a",637
"as","well",634
"such","a",633
"we","had",633
"the","end",632
"at","a",630
"used","to",626
"see","the",625
"love","to",622
"get","to",619
"i","also",619
"to","know",619
"in","this",617
"out","the",617
"i've","been",611
"for","me",609
"they","have",605
"are","a",602
"over","the",599
"and","you",597
"been","a",594
"a","couple",593
"of","our",593
"try","to",592
"if","the",591
"for","my",590
"is","an",587
"just","a",585
"looking","forward",585
"out","to",585
"you","for",585
"don't","know",583
"may","be",583
"s","a",583
"you","think",583
"she","was",582
"wish","i",582
"decided","to",581
"check","out",579
"the","next",579
"up","with",579
"have","you",567
"are","not",563
"is","one",561
"the","day",561
"i","hate",559
"looking","for",559
"it's","a",557
"so","many",557
"i","still",556
"of","you",555
"take","a",547
"the","one",547
"of","course",544
"to","give",543
"up","and",541
"look","at",538
"this","was",538
"be","able",535
"make","a",535
"make","sure",534
"of","them",532
"know","how",527
"you","need",526
"i","used",525
"me","and",523
"to","hear",523
"to","keep",523
"i","should",521
"that","they",520
"she","is",518
"then","i",518
"you","get",518
"you","don't",514
"not","sure",513
"of","your",511
"thanks","to",511
"a","big",509
"from","a",509
"no","one",507
"me","a",506
"could","be",505
"not","the",503
"having","a",501
"how","much",500
"is","so",499
"up","the",497
"about","to",496
"did","not",493
"see","you",493
"time","i",493
"ready","to",492
"i'm","going",487
"of","those",486
"get","the",485
"people","who",485
"went","to",485
"and","they",484
"through","the",484
"i","wanted",483
"be","in",482
"got","to",482
"you","should",482
"can","you",480
"the","fact",479
"is","in",478
"and","my",476
"in","your",476
"i","went",474
"is","my",474
"say","that",470
"to","work",469
"does","not",465
"hard","to",465
"lots","of",465
"end","of",464
"not","only",462
"make","it",461
"i","found",459
"of","us",459
"those","who",456
"had","been",455
"he","has",453
"i","see",453
"and","he",452
"think","that",451
"when","we",451
"have","no",450
"all","i",449
"not","be",449
"into","a",448
"to","start",447
"if","we",446
"you","and",446
"i'll","be",445
"you","do",445
"to","you",444
"is","no",443
"is","what",442
"will","have",438
"the","rest",437
"love","the",436
"was","in",436
"if","it",434
"for","your",433
"looks","like",431
"of","his",431
"how","many",430
"you","guys",430
"i","saw",427
"my","first",424
"for","you",423
"don't","have",422
"you","could",422
"last","night",421
"excited","to",420
"had","the",420
"just","got",419
"i","never",416
"the","whole",416
"it","in",415
"need","a",414
"to","come",414
"was","not",413
"we","need",413
"who","is",413
"come","to",412
"know","if",412
"to","use",411
"is","also",410
"right","now",410
"my","favorite",408
"many","of",407
"the","people",406
"now","i",405
"working","on",405
"that","this",404
"think","of",404
"a","long",403
"even","though",403
"i","made",403
"must","be",403
"there","were",401
"for","all",400
"for","this",400
"is","just",400
"t","have",400
"it's","not",399
"seem","to",399
"you","were",399
"enough","to",396
"here","is",396
"i","always",395
"even","if",394
"might","be",394
"up","in",394
"of","these",393
"what","the",391
"i","decided",390
"needs","to",390
"of","all",390
"i","knew",388
"sure","to",387
"this","week",387
"makes","me",385
"was","just",385
"we","all",384
"well","as",382
"off","the",380
"would","like",380
"to","help",379
"seems","to",377
"should","have",377
"how","do",376
"time","for",376
"up","on",376
"but","they",375
"he","had",375
"the","right",374
"of","it",373
"by","a",371
"couple","of",371
"so","we",371
"to","try",371
"to","think",370
"up","for",370
"you","all",369
"my","mom",367
"tell","you",367
"when","it",365
"fact","that",364
"tell","me",364
"all","my",363
"if","they",362
"do","i",361
"has","to",359
"them","to",359
"in","his",358
"wants","to",358
"would","you",358
"it","seems",356
"don't","think",355
"instead","of",354
"so","that",354
"but","you",353
"how","i",353
"on","this",353
"it","and",352
"what","a",352
"i","haven't",351
"on","your",351
"about","it",350
"can","i",350
"as","we",349
"what","are",349
"talking","about",348
"a","man",346
"me","that",346
"ready","for",345
"up","a",344
"like","i",343
"that","a",343
"the","book",343
"and","if",342
"to","watch",342
"am","not",341
"am","i",340
"for","those",340
"listening","to",340
"and","all",339
"in","our",339
"what","do",339
"would","love",339
"and","his",338
"to","your",338
"she","has",337
"you","may",337
"but","we",336
"the","story",336
"too","much",336
"a","huge",335
"do","it",335
"to","tell",335
"was","so",335
"it","all",332
"tried","to",332
"as","you",331
"to","share",331
"the","two",330
"to","look",330
"to","put",330
"are","so",329
"as","much",329
"bit","of",329
"for","some",329
"have","an",329
"supposed","to",329
"the","second",329
"i","wonder",328
"that","there",328
"you","just",328
"not","have",327
"told","me",327
"after","the",326
"and","in",326
"and","to",326
"i","might",326
"and","i'm",325
"when","he",325
"about","a",324
"and","is",323
"that","would",322
"which","i",322
"but","this",321
"i","believe",321
"know","i",321
"why","i",321
"you","can't",321
"better","than",320
"is","still",320
"will","not",320
"with","you",320
"a","nice",319
"and","she",319
"are","all",318
"because","of",318
"they","will",318
"where","the",318
"all","that",317
"i","find",316
"think","it",316
"you","like",316
"can","see",315
"who","are",315
"day","to",314
"if","you're",314
"as","it",313
"my","life",313
"to","our",313
"this","one",312
"after","a",311
"are","in",311
"around","the",311
"i","started",311
"made","a",311
"when","they",311
"could","have",310
"down","to",310
"rest","of",310
"talk","about",309
"that","my",309
"in","an",308
"think","the",308
"are","going",307
"to","read",306
"you","see",306
"but","if",305
"of","their",305
"what","we",305
"and","so",304
"but","he",304
"the","more",304
"this","time",304
"away","from",303
"but","that",303
"m","not",303
"and","not",302
"but","i'm",302
"of","that",302
"out","and",302
"i","felt",301
"just","as",301
"off","to",301
"s","not",301
"first","time",300
"why","do",300
"and","this",299
"may","have",299
"to","play",299
"and","there",298
"i","took",298
"us","to",298
"think","about",297
"to","this",297
"a","small",296
"got","the",296
"happy","to",294
"is","on",294
"wait","for",294
"any","of",293
"being","a",293
"have","some",293
"back","in",292
"can","get",292
"from","my",292
"are","some",291
"i","remember",291
"it","a",291
"only","one",291
"to","meet",291
"this","morning",290
"at","this",289
"of","what",289
"we","should",289
"sort","of",288
"to","write",288
"it","out",287
"that","she",287
"thinking","about",287
"waiting","for",287
"much","for",286
"my","own",286
"ve","been",286
"you","would",286
"and","have",285
"because","it",285
"did","i",285
"find","a",283
"me","know",283
"t","know",283
"life","is",282
"to","talk",282
"can","do",281
"people","are",281
"we","do",281
"you","a",281
"since","i",279
"down","the",278
"the","top",278
"believe","that",277
"may","not",277
"so","you",277
"they","had",277
"how","the",276
"these","are",276
"to","check",276
"is","there",275
"where","i",275
"follow","me",274
"love","you",274
"be","sure",273
"hope","to",273
"him","to",272
"i","may",272
"is","now",272
"now","that",272
"number","of",272
"that","are",272
"this","year",272
"to","stop",272
"was","going",272
"don't","want",271
"in","their",270
"let","us",270
"sounds","like",270
"there's","a",270
"what","they",270
"and","when",269
"nice","to",269
"i","told",268
"like","it",268
"live","in",268
"is","all",267
"is","this",267
"made","me",267
"while","i",267
"have","any",266
"it","on",266
"make","the",266
"so","far",266
"and","what",265
"at","all",265
"because","the",265
"is","very",265
"s","the",265
"some","people",265
"a","day",264
"know","the",264
"with","all",264
"for","an",263
"no","matter",263
"but","there",262
"gonna","be",262
"such","as",262
"be","on",261
"but","not",261
"day","of",261
"i'm","sure",261
"or","the",261
"take","the",261
"the","kids",261
"you","might",261
"and","now",260
"for","our",260
"i'm","a",260
"talk","to",260
"here","are",259
"is","like",259
"on","to",259
"she","had",259
"full","of",258
"i","dont",258
"if","he",258
"interested","in",258
"is","your",258
"as","if",257
"it","just",256
"of","an",256
"they","can",256
"listen","to",255
"out","with",255
"due","to",254
"has","the",254
"look","like",254
"and","for",253
"but","it's",253
"good","to",253
"it","up",253
"made","it",253
"of","her",253
"and","even",252
"in","that",252
"looking","at",252
"to","learn",252
"just","want",251
"that","will",251
"thought","i",251
"was","an",251
"why","is",251
"it","makes",250
"me","in",250
"no","longer",250
"out","there",250
"with","me",250
"during","the",249
"my","new",249
"to","show",249
"we","got",249
"with","your",249
"chance","to",248
"you","ever",248
"a","wonderful",247
"it","can",247
"you","in",247
"and","how",246
"i'm","so",246
"it","for",246
"know","you",246
"of","people",246
"out","for",246
"we","would",246
"i","read",245
"no","idea",245
"that","one",245
"based","on",244
"every","time",244
"he","would",244
"i","look",244
"in","order",244
"was","to",244
"in","and",243
"is","more",243
"see","a",243
"for","that",242
"something","that",242
"we","could",242
"is","about",241
"so","the",241
"the","idea",241
"how","you",240
"much","more",240
"the","very",240
"a","week",239
"the","big",239
"you","had",239
"and","some",238
"the","good",238
"to","follow",238
"going","on",237
"what","it",237
"do","the",236
"have","had",236
"it's","been",236
"one","day",236
"that","if",236
"with","an",236
"make","me",235
"along","with",234
"in","which",234
"it's","the",233
"thought","it",233
"today","is",233
"at","my",232
"it","with",232
"i","miss",231
"my","husband",231
"see","how",231
"the","game",231
"to","buy",231
"before","the",230
"continue","to",230
"one","thing",230
"only","a",230
"see","what",230
"and","was",229
"do","we",229
"i","tried",229
"it","when",229
"quite","a",229
"still","have",229
"i","mean",228
"i","wanna",228
"it","may",228
"like","this",228
"out","in",228
"was","one",228
"about","how",227
"are","still",227
"as","an",227
"as","they",227
"find","out",227
"much","of",227
"t","want",227
"a","time",226
"a","way",226
"a","whole",226
"is","always",226
"so","it",226
"the","things",226
"under","the",226
"who","has",226
"will","you",226
"wonder","if",226
"and","get",225
"said","that",225
"about","this",224
"do","a",224
"out","on",224
"the","past",224
"until","the",224
"will","never",224
"before","i",223
"i'm","just",223
"starting","to",223
"sure","you",223
"according","to",222
"as","he",222
"how","can",222
"i","couldn't",222
"on","our",222
"to","let",222
"great","to",221
"i","heard",221
"a","chance",220
"a","friend",220
"must","have",220
"not","going",220
"not","just",220
"the","great",220
"but","when",219
"is","why",219
"not","even",219
"that","has",219
"took","a",219
"with","this",219
"on","that",218
"the","man",218
"the","word",218
"we","get",218
"and","will",217
"but","then",217
"he","will",217
"like","that",217
"pretty","much",217
"to","live",217
"today","i",217
"be","an",216
"in","love",216
"this","weekend",216
"to","ask",216
"was","on",216
"my","friends",215
"am","so",214
"like","you",214
"things","that",214
"to","change",214
"all","you",213
"because","they",213
"if","u",213
"than","a",213
"the","worst",213
"there","will",213
"but","a",212
"glad","to",212
"in","front",212
"more","of",212
"the","house",212
"watching","the",212
"a","large",211
"he","said",211
"my","friend",211
"so","excited",211
"and","your",210
"just","like",210
"long","as",210
"of","being",210
"on","twitter",210
"one","is",210
"use","the",210
"who","have",210
"with","some",210
"and","as",209
"as","long",209
"many","people",209
"on","his",209
"a","real",208
"ended","up",208
"figure","out",208
"i","only",208
"managed","to",208
"my","heart",208
"easy","to",207
"go","back",207
"the","little",207
"to","eat",207
"and","her",206
"and","other",206
"want","a",206
"who","was",206
"also","a",205
"am","going",205
"i'm","in",205
"rather","than",205
"what","if",205
"would","not",205
"a","really",204
"back","and",204
"seems","like",204
"then","the",204
"think","you",204
"to","add",204
"to","leave",204
"can","only",203
"it","as",203
"just","to",203
"made","the",203
"one","that",203
"out","that",203
"than","the",203
"the","old",203
"the","show",203
"this","will",203
"though","i",203
"to","win",203
"give","me",202
"might","have",202
"my","dad",202
"the","main",202
"year","old",202
"here","in",201
"if","your",201
"look","forward",201
"the","film",201
"they","would",201
"when","a",201
"a","better",200
"but","in",200
"coming","to",200
"had","no",200
"not","that",200
"pretty","sure",200
"to","her",200
"you","feel",200
"back","on",199
"can","make",199
"which","was",199
"an","amazing",198
"and","more",198
"give","you",198
"i","say",198
"just","have",198
"read","the",198
"thing","that",198
"to","bring",198
"in","her",197
"order","to",197
"we","don't",197
"we","just",197
"while","the",197
"a","while",196
"across","the",196
"but","what",196
"can't","believe",196
"each","other",196
"i","go",196
"or","a",196
"the","real",196
"them","in",196
"a","year",195
"are","just",195
"between","the",195
"just","the",195
"type","of",195
"a","beautiful",194
"new","york",194
"tend","to",194
"get","it",193
"get","my",193
"i","must",193
"is","really",193
"the","name",193
"to","stay",193
"we","know",193
"with","his",193
"all","about",192
"i","actually",192
"the","lord",192
"have","not",191
"hope","that",191
"i","put",191
"of","which",191
"people","in",191
"something","to",191
"to","an",191
"what","to",191
"when","people",191
"a","pretty",190
"and","it's",190
"close","to",190
"could","not",190
"getting","ready",190
"how","it",190
"in","all",190
"me","the",190
"much","as",190
"of","me",190
"sometimes","i",190
"t","be",190
"the","point",190
"then","you",190
"was","also",190
"your","favorite",190
"came","to",189
"don't","forget",189
"end","up",189
"me","on",189
"someone","who",189
"thing","i",189
"to","spend",189
"a","bad",188
"the","middle",188
"what","was",188
"all","over",187
"for","it",187
"it","takes",187
"see","that",187
"those","of",187
"but","my",186
"it","comes",186
"just","saw",186
"my","way",186
"that","in",186
"when","she",186
"does","it",185
"next","to",185
"seemed","to",185
"top","of",185
"as","soon",184
"get","back",184
"none","of",184
"where","you",184
"that","can",183
"to","his",183
"was","that",183
"a","place",182
"amount","of",182
"her","to",182
"in","to",182
"is","only",182
"it","really",182
"plenty","of",182
"you","so",182
"your","own",182
"and","just",181
"and","their",181
"forget","to",181
"i","said",181
"is","something",181
"me","of",181
"my","mind",181
"see","it",181
"the","entire",181
"the","ones",181
"they","do",181
"time","in",181
"be","at",180
"can","also",180
"on","their",180
"out","a",180
"since","the",180
"to","for",180
"we","went",180
"were","a",180
"am","a",179
"for","her",179
"had","an",179
"it","had",179
"more","about",179
"not","in",179
"the","city",179
"the","perfect",179
"the","sun",179
